text,label,seed
what is the travel time between philadelphia and richmond,4,what is the driving time between philadelphia and richmond
"If I leave Texas Stadium at 10: 30 p.m., when will I get home?",2,"if i leave texas stadium at 10 : 30 pm , what time will i get home"
"If I start at 3 p.m. today, I'll be there in time for the Sharks' game against the Oilers at 5 p.m.",2,"if started at 3 pm today , will i be on time for sharks v . oilers match starting at 5 pm ."
What is the distance between Charlotte and Tampa?,1,what 's the distance between charlotte and tampa
how much driving time is needed from cupertino to san jose.,4,how much driving time is needed from cupertino to san jose .
Is there heavy rain on the motorway?,5,is there heavy rain in the freeway ?
what is the travel time between philadelphia and richmond,4,what is the driving time between philadelphia and richmond
When should I go to work at 8am?,3,when should i leave to get to work at 8 am
How much time should I take to make it to the game by 6 p.m.?,3,what time should i leave to make it to the lakers game by 6 pm ?
Is there flooding on the roads this afternoon?,5,is there any flooding on the roads this afternoon ?
What is the distance between Boston and Las Vegas?,1,what 's the distance between boston and las vegas
how much traffic there is on the 290,6,how much traffic is on the 290
When should I go if I want to ride my bike to Grovertown by 2 a.m.?,3,when should i leave if i want to bike to grovertown by 2 ?
When should I go to get to Winnipeg by 6 p.m.?,3,when should i leave to get to winnipeg by 6 pm ?
I will be in the centre of Barclay until 7pm due to the current traffic conditions,2,will i be at the barclay 's center by 7 pm under current traffic conditions
"If I start at 3 p.m. today, I'll be there in time for the Sharks' game against the Oilers at 5 p.m.",2,"if started at 3 pm today , will i be on time for sharks v . oilers match starting at 5 pm ."
How long is my way to work when I go now,4,how long is my drive to work if i leave now
What is the distance between Baltimore and Washington DC?,1,what is the distance between baltimore and washington dc
what is the travel time between philadelphia and richmond,4,what is the driving time between philadelphia and richmond
What are the road conditions in the Dallas Metroplex?,5,how are the road conditions in the dallas metroplex ?
What is the mileage between table salt and hay?,1,what is the mileage between salina and hays
When do I have to leave my house to be at the Town Hall by public transport at 10 am?,3,what time must i leave my house to arrive at the nyc city hall by 10 a.m using public transportation
how much traffic there is on the 290,6,how much traffic is on the 290
What is the distance between Salem and Neuberg?,1,what 's the distance between salem and newberg
new york to new jersey how many miles,1,new york to new jersey how many miles
Roads are slippery,5,are the roads slick
Show me detours to play with the wounds.,6,show me detours to the bruins ' game .
Give me my way home,0,give me my route home
When do I have to leave my dentist appointment to get to the doctor's appointment at 2 pm?,3,what time do i need to leave my dentist appointment to make it to my doctor 's appointment at 2 ?
traffic in Toledonia is heavy,6,is traffic heavy in toledo
What do you do to avoid traffic?,0,what is the route to take to avoid traffic
Is there a quick way to get to the airport today for a 9pm flight?,0,is there a fast way to get to the airport for a 9 pm flight today ?
What is the distance between Boston and Las Vegas?,1,what 's the distance between boston and las vegas
how far from my house to the tennis lake,1,how far from my house to sweetwater tennessee
Is there a quick way to get to the airport today for a 9pm flight?,0,is there a fast way to get to the airport for a 9 pm flight today ?
How much time should I take to make it to my cousin's house by noon?,3,what time should i leave to make it to my cousin 's house by noon ?
Distance to Salt Lake City,1,distance to salt lake city
get the time it takes to get home on the i-10.,4,get the time it will take to get home on the i - 10 .
"If I leave Texas Stadium at 10: 30 p.m., when will I get home?",2,"if i leave texas stadium at 10 : 30 pm , what time will i get home"
What time should I take to make it to the game in Leverpool today?,3,what time should i leave to make it to the liverpool game today ?
What is my quickest route to a Walmart?,0,what is my quickest route to a walmart
How far is my house from Tina's house?,1,what is the distance from my house to tina 's house
Are the roads slick this morning?,5,are the roads slick this morning ?
"If I leave here at 5 in the morning, when will I get to Santa Cruz?",2,"if i leave here at 5 am , when will i get to santa cruz ?"
Which way do I go from home to the kent state campus?,0,what direction do i head from home to get to the kent state campus ?
How long will it take to get from Bellingham to Seattle?,4,how long will it take me to drive from bellingham to seattle
Are there currently floods on the Gallows Strait?,5,is there any flooding aking place on galm road right now ?
how is the traffic on the i-91 towards Springfield,6,how is the traffic on i - 91 towards springfield
How long is it to walk around this structure?,4,how long is it to go around this construction
When do I have to leave tonight?,3,when do i need to leave tonight ?
Tell me where the black ice is,5,tell me where black ice advisories are
how many miles between baltimore and new york city,1,how many miles between baltimore to new york city
"When we leave the church at 12 o'clock, at what time will we be in the uncle's house?",2,if we leave church at 12 pm at what time we will be in uncle 's tom house
How do I get traffic from Tampa to Miami when I leave at 5 a.m.?,6,how is traffic driving from tampa to miami if i leave by 5 am
"If I'm here in 5 minutes, can I make it to the vet by 3 o'clock?",2,"if i leave here in 5 minutes , can i make it to the vet appointment by 3 ?"
how far away am I from the nearest rest area,1,how far am i from the nearest rest stop
how many miles between seattle and new york,1,how many miles between seattle and new york
"If I leave in 5 minutes, how long will it take to get to work?",4,if i leave in 5 minutes how long will it take me to get to work ?
How much time should I take to make it to the game by 6 p.m.?,3,what time should i leave to make it to the lakers game by 6 pm ?
"when I am here now, do I pass through floodwaters on my way to the shore?",5,"if i here now , will i drive through flooding on the way to the bank ?"
What is the distance between Minneapolis and San Francisco?,1,what 's the distance between minneapolis and san francisco
Give me my way home,0,give me my route home
will I come across broken power lines on the way to santa barbara?,6,will i run into downed power lines on the way to santa barbara ?
Is there flooding on the roads this afternoon?,5,is there any flooding on the roads this afternoon ?
Flying kilometers between Alabama and Georgia,1,"mileage , by flight , between alabama and georgia"
"The party starts at 8am on Saturday at the White House, which is the time I need to leave Carthage on time.",3,"the party starts at 8 on saturday in white house , what time to i need to leave carthage to make it on time ."
"what is the quickest way to Washington, DC",0,"what is the fastest route to washington , dc"
how far away is georgia from hawaii,1,how far away is georgia from hawaii
ll make it to the cinema in time,2,will i make it to the movies in time
Are the roads slick this morning?,5,are the roads slick this morning ?
"When we leave the church at 12 o'clock, at what time will we be in the uncle's house?",2,if we leave church at 12 pm at what time we will be in uncle 's tom house
How long does it take to get home?,4,how long is drive home
any construction I should look for on johnstion street,6,any construction i should look for on johnstion street
What is the distance between Boston and Las Vegas?,1,what 's the distance between boston and las vegas
How long does the journey from Philadelphia to Boston take?,4,what 's the drive time from philly to boston
How long do I have to be away from home to be at fred meyer's until 9: 30 p.m.?,3,what time do i need to leave home by to get to fred meyer 's by 9 : 30 pm ?
What are the road conditions in the Dallas Metroplex?,5,how are the road conditions in the dallas metroplex ?
Which way do I go from home to the kent state campus?,0,what direction do i head from home to get to the kent state campus ?
Are the roads slick this morning?,5,are the roads slick this morning ?
Is there a quick way to get to the airport today for a 9pm flight?,0,is there a fast way to get to the airport for a 9 pm flight today ?
How long does it take to get home?,4,how long is drive home
How long before we get to the haunted house on the h street,4,how long before we get to the haunted house on h street
What is the fastest way to get home to avoid traffic?,0,what is the fastest route home to avoid traffic
"If I drive in 5 minutes, when will I arrive at my destination?",2,"if i leave in 5 minutes , when will i arrive at my destination"
Tell me the distance between here and funny,1,tell me the distance between here and merrill
can I reach Cairo by bus today until 19: 00?,2,can i get cairo by 7 pm by bus today ?
What is the distance between Salem and Neuberg?,1,what 's the distance between salem and newberg
how far from my house to the tennis lake,1,how far from my house to sweetwater tennessee
"Driveway to Baltimore, how it looks with the traffic",6,driving in to baltimore what 's the traffic like
How long will it take to get to the office this morning?,4,how long with it take me to get to the office this morning
How long will it take me to get to San Francisco from here if I leave now?,4,how long will it take me to get to san francsico china town from here if i leave now ?
Are there traffic obstructions due to road works?,6,are there any traffic delays due to road construction
Can you tell me how long it will take me to get to Charlotte?,4,can you tell me how long it will take me to get to charlotte
When should I go to the Fiesta to make it to 12 o'clock?,3,what time should i head out the door for the fiesta especial to make it by noon ?
"when would I arrive in trenton, nj if I left now and I - 75",2,"when would i arrive in trenton , nj if i left now and took i - 75"
Tell me the distance between here and funny,1,tell me the distance between here and merrill
how much driving time is needed from cupertino to san jose.,4,how much driving time is needed from cupertino to san jose .
new york to new jersey how many miles,1,new york to new jersey how many miles
Distance between nyc and la,1,distance between nyc and la
Are there icy roads on the way to my massage appointment?,5,are there any icy roads on the way to my massage appointment ?
I need help to get to unisys today at 3pm,0,i need help getting to unisys today at 3 pm
How long will it take to get to edison if I leave now?,4,how much time will it take to get to edison if i leave now ?
How long will it take to get from Bellingham to Seattle?,4,how long will it take me to drive from bellingham to seattle
Can I get to London at 5am?,2,can i get to london by 5
How long does the train to Chicago take?,4,how long does the train take to chicago
how much mile between Austin and Dallas,1,how many mile between austin and dallas
How long will it take to get to Joe's house when I leave at 8am?,4,how long will it take to get to joe 's house if i leave at 8 am
"If I leave in an hour, how much time will I get to Portland?",2,"if i leave in an hour , what time will i get to portland ?"
What is the distance between Baltimore and Washington DC?,1,what is the distance between baltimore and washington dc
What's the traffic like in downtown Atlanta?,6,what is the traffic like in downtown atlanta
When do I have to leave lynnwood to get to bothell by 8am?,3,what time do i have to leave lynnwood to arrive in bothell by 8 am ?
Can you tell me how to get a universal city walk without using the i4 from my home?,0,can you tell me how to get to universal city walk without using i4 from my house
Which way do I go from home to the kent state campus?,0,what direction do i head from home to get to the kent state campus ?
traffic in Toledonia is heavy,6,is traffic heavy in toledo
How much time should I take to make it to the concert by 9 p.m.?,3,what time should i leave to make it to the concert by 9 pm ?
"when would I arrive in trenton, nj if I left now and I - 75",2,"when would i arrive in trenton , nj if i left now and took i - 75"
How long do I have to leave my house to get to the doctor's appointment at 2pm on Monday?,3,what time do i need to leave my house to get to my doctor 's appointment on monday at 2 pm ?
Distance from home to the cinema,1,distance from home to movie theatre
Distance to Salt Lake City,1,distance to salt lake city
When do I arrive at the mall when I leave my house at 7: 15 a.m.?,2,when will i arrive at the mall if i leave my house at 7 : 15
How bad is the traffic today?,6,how bad is the traffic today
When can I go to celebrate my son's birthday at 9pm?,3,when can i leave to catch my son 's birthday at 9 pm ?
Traffic update now,6,traffic update now
What is the distance between Boston and Las Vegas?,1,what 's the distance between boston and las vegas
Can I arrive at the bellevue until 9: 00 am under the current traffic conditions?,2,can i get to bellevue by 9 : 00 with the current traffic conditions ?
how many miles is it from la to hawaii,1,how many miles is it from la to hawaii
Philadelphia traffic please,6,traffic in philadelphia please
is built to 35w in Minneapolis,6,is there construction on 35w in minneapolis
Is the highway this morning the fastest way to the polka festival?,0,is the freeway the fastest way to get to the polka festival this morning ?
Did the rain affect the trip to my uncle Safwat?,5,did the rain affect driving to my uncle safwat ?
"If I take the bus now, can I get to work by 7am?",2,if i take the bus now can i reach my work by 7 am ?
How long do I have to go to make it to the Houston Rockets game by 8 p.m.?,3,what time will i need to leave to make it to the houston rocket 's game by 8 p.m . ?
Is the icy road conditions on the i 77 this morning,5,are the any icy road conditions on i 77 this morning
"If I leave Texas Stadium at 10: 30 p.m., when will I get home?",2,"if i leave texas stadium at 10 : 30 pm , what time will i get home"
How long will it take to get to Guarulhos Airport from here if I leave now?,4,how long will it take me to get to guarulhos airport from here if i leave right now ?
"can I get from here to naperville, illinois till 10 am?",2,"can i get from here to naperville , illinois by 10 am ?"
Are the paths to the nearest hospital clear?,5,are the roads to the nearest hospital clear ?
Can I arrive on time for my breakfast meeting if I leave in 5 minutes?,2,can i get to my breakfast meeting on time if i leave in 5 minutes ?
"If the meeting starts at 9 a.m., what time do I have to leave my mother at home?",3,if the meeting starts at 9 am what time will i have to leave my mom ; s home
What does my commute home look like?,6,how 's my commute home looking
"If I take the bus now, can I get to work by 7am?",2,if i take the bus now can i reach my work by 7 am ?
Is there a broken power line on Barton Road?,5,is there a downed power line on barton road ?
How long will it take to get to virginia beach if I leave in an hour?,4,how long will it be till i arrive in virginia beach if i leave in an hour ?
Is there a broken power line on Barton Road?,5,is there a downed power line on barton road ?
What time should I take to come to the Jubilee Concert tomorrow at 5.30 p.m.,3,what time should i leave to make it to the cheer concert by 5 : 30 pm tomorrow ?
Can I have directions to New York?,0,can i have directions to new york
When can I expect to arrive in St Louis when I leave at 8am tomorrow?,2,when can i expect to arrive in st . louis if i leave tomorrow at 8 am ?
Are the paths between here and the devil's play plowed?,5,have the roads between here and the devil 's game been plowed ?
"what is the quickest way to Washington, DC",0,"what is the fastest route to washington , dc"
When should I leave Chris's house to get to work at 9am on Friday morning?,3,what time should i depart from chris ' house to get to work by 9 am on friday morning ?
How long do I have to be away from home to be at fred meyer's until 9: 30 p.m.?,3,what time do i need to leave home by to get to fred meyer 's by 9 : 30 pm ?
When do I have to leave lynnwood to get to bothell by 8am?,3,what time do i have to leave lynnwood to arrive in bothell by 8 am ?
Is there heavy rain on the motorway?,5,is there heavy rain in the freeway ?
"If I take the bus now, can I get to work by 7am?",2,if i take the bus now can i reach my work by 7 am ?
Show me the quickest way home,0,show me the fastest route home
What is the mileage between table salt and hay?,1,what is the mileage between salina and hays
When should I go if I want to make the girl's brunch at 3pm?,3,when should i leave if i want to make the girl 's brunch at 3 pm ?
How much time should I take to get to work at 8 in the morning?,3,what time should i leave to make it to work at 8 am
What is the state of the road today?,5,how is the road conditions today ? any danger ?
What are the road conditions like?,5,how are road conditions
Have they already solved the accident on 528?,6,have they cleared up the accident on 528 yet
When should I leave Chris's house to get to work at 9am on Friday morning?,3,what time should i depart from chris ' house to get to work by 9 am on friday morning ?
Fastest route home,0,fastest route home
Take me to San Antonio Texas and no toll roads?,0,take me to san antonio texas and no toll roads ?
How long will it take me to get to Jane's house if I leave in 10 minutes?,4,how long will it take me to get to jane 's house if i leave in 10 minutes
Is it a clear shot at the trump card?,6,is it a clear shot to the trump rally
"If the meeting starts at 9 a.m., what time do I have to leave my mother at home?",3,if the meeting starts at 9 am what time will i have to leave my mom ; s home
What's the weather like for driving today?,5,what is the weather like for driving today ?
Is there a broken power line on Barton Road?,5,is there a downed power line on barton road ?
What does my commute home look like?,6,how 's my commute home looking
"how many miles is it between tulsa, ok and oklahoma city, ok",1,"how many miles is it between tulsa , ok and oklahoma city , ok"
Is there a way to get to the hospital without construction?,0,is there a way to get to the hospital without construction ?
What is my quickest route to a Walmart?,0,what is my quickest route to a walmart
Is there snow or ice on the roads to Grandma's house?,5,is there any snow or ice on the roads to grandma 's house ?
Greenville to Charleston,1,miles from greenville to charleston
"what is the distance between key west, florida and huntington, new york",1,"what is the distance between key west , florida and huntington , new york"
When should I go to get into town by noon?,3,when should i leave to get to town by noon
What are the road conditions on the i-10?,5,what are the road conditions on i - 10 ?
I can come to the party before 6pm if I have picked up john and jose,2,can i get to the party before 6 pm if i picked up john and jose
What is the traffic like on my street today?,6,how is traffic on my street today
Traffic update now,6,traffic update now
Are the roads to Main Street in Portland polluted this morning?,5,are the road to main st in portland fuggy this morning ?
can I get to Wall Street by taxi until 23: 00?,2,can i get to wall street by 11 : 00 pm with taxi ?
How long does the train to Chicago take?,4,how long does the train take to chicago
"If I leave in an hour, how much time will I get to Portland?",2,"if i leave in an hour , what time will i get to portland ?"
Display to the working route,0,display to work route
Are there traffic lights today?,6,is there light traffic today
What time will Abeer arrive here when she leaves her clinic at 7pm?,2,what time will abeer arrive here if she left her clinic at 7 pm ?
Is there flooding on the roads this afternoon?,5,is there any flooding on the roads this afternoon ?
"If I start at 3 p.m. today, I'll be there in time for the Sharks' game against the Oilers at 5 p.m.",2,"if started at 3 pm today , will i be on time for sharks v . oilers match starting at 5 pm ."
when should I leave the hair salon kris to get to heba's wedding before 7pm?,3,what time should i leave kris hair salon to reach heba 's wedding before 7 pm ?
"If I leave in an hour, how much time will I get to Portland?",2,"if i leave in an hour , what time will i get to portland ?"
Is there heavy rain on the motorway?,5,is there heavy rain in the freeway ?
Take me to downtown Cincinnati at 1 p.m. with no roadworks.,0,get me driving directions to downtown cincinnati without construction leaving at 1 pm .
"what is the traffic driving from cranford to new hope, pa",6,"what is the traffic driving from cranford to new hope , pa"
How long does it take to get home?,4,how long is drive home
How long would it take me to go to walmart,4,how long would it take me to go to walmart
What is the traffic like at the lino tunnel?,6,what is the traffic at the lincoln tunnel
what is the traffic on the fl turntable today,6,what is the traffic on the fl turnpike today
how far away is Charleston sc from here,1,how far is charleston sc from here
Time to cross the Golden Gate Bridge from Oakland to San Francisco,4,time it would take to get from oakland to san francisco via the golden gate bridge
Calculate the time it would take to reach San Francisco from Seattle if you are traveling at 65 km / h,4,calculate the time it would take to get to san francisco from seattle if traveling at 65 mph
how is the traffic from los angeles to san francisco,6,what is the traffic like driving from los angeles to san francisco
the bridge is still on the northern lane of Highway 331,5,is the bridge still out on the northbound lane of hwy 331
"how do i take the long way to the canton, ms",0,"how do i take the long way to canton , ms"
how many hours it takes from Syracuse to Watertown,4,how many hours is it from syracuse to watertown
What is the best way between Edison and the Tweezers Show?,0,what 's the best route between edison and the weezer show ?
how far away is Charleston sc from here,1,how far is charleston sc from here
Is the highway this morning the fastest way to the polka festival?,0,is the freeway the fastest way to get to the polka festival this morning ?
Flying kilometers between Alabama and Georgia,1,"mileage , by flight , between alabama and georgia"
any construction I should look for on johnstion street,6,any construction i should look for on johnstion street
how many miles is it from atlanta to savannah,1,how many miles is it from atlanta to savannah
Please show me detours to go home now and avoid all highways,6,please show me any detours for going home right now avoiding all highways
When will I get home?,2,when will i get home
"when I am here now, do I pass through floodwaters on my way to the shore?",5,"if i here now , will i drive through flooding on the way to the bank ?"
What is the fastest way to get home to avoid traffic?,0,what is the fastest route home to avoid traffic
Will the streets be cleared as I drive to 5th Ave now?,5,will the roads be cleared if i leave now to get to 5th ave ?
Is there fog on Highway 43 between Greenville and Conetoe this morning?,5,is there any fog on hwy 43 between greenville and conetoe this morning ?
What is the traffic from home to work like?,6,what is the traffic from home to work
Are the roads near my house icy?,5,are the roads icy near my house ?
"I want to be with my daughter at 8am, what time should I leave?",3,i want to be at my daughter 's by 8 am what time should i leave
"If I leave here at 5 in the morning, when will I get to Santa Cruz?",2,"if i leave here at 5 am , when will i get to santa cruz ?"
When should I go to get into town by noon?,3,when should i leave to get to town by noon
Are there floods on the new jersey turner south toward Philadelphia today?,5,is there flooding on the new jersey turnpike south heading towards philadelphia today ?
How long does it take to drive from Dallas to Houston when I leave at 10 a.m.,4,how long does it take to drive from dallas to houston if i leave at 10 am
Directions to the nearest hospital,0,driving directions to the closest hospital
How long will it take me to get from here to omar's house if I leave in 15 minutes?,4,how long will it take me to get to omar 's house from here if i leave in 15 minutes ?
Should I avoid the 91 today?,6,should i avoid the 91 today
When should I leave my house to get downtown by 5 p.m.?,3,what time should i leave my house to get downtown by 5 pm
How long will it take to get to my doctor's appointment at 3pm if I'm not driving on the motorway?,4,how long will it take to get to my doctors appointment at 3 pm if i don't take the highway
how far is portland from san francisco,1,how far is portland from san francisco
How long is my journey home from spokane,4,how long is my drive home from spokane
"My brother wants to meet in his house at 10 p.m., when should I leave my sisters on the 88 freeway?",3,my brother wants to meet at his house at 10 pm when should i leave my sisters using highway 88
how far away am I from the nearest rest area,1,how far am i from the nearest rest stop
the traffic this morning is bad,6,is traffic bad this morning
"Driveway to Baltimore, how it looks with the traffic",6,driving in to baltimore what 's the traffic like
will be built on 4th Avenue,6,is construction ongoing on 4th avenue
When should I go to make it to the lil kim concert at 9pm?,3,what time should i leave to make it to the lil kim concert at 9 pm ?
"If I start at 3 p.m. today, I'll be there in time for the Sharks' game against the Oilers at 5 p.m.",2,"if started at 3 pm today , will i be on time for sharks v . oilers match starting at 5 pm ."
"Get a description of disney world from tallahassee, florida and avoid highways.",0,"get directions to disney world from tallahassee , florida , avoiding expressways ."
when should i go if i have to be in carolina ave. tooth until 3 p.m.,3,what time should i leave if i need to be at carolina ave . dental by 3 pm
How long will it take me to get from here to omar's house if I leave in 15 minutes?,4,how long will it take me to get to omar 's house from here if i leave in 15 minutes ?
How far is Chicago from Milwaukee?,1,how far is chicago to milwaukee
Tell me the direction of travel from my house to the Uta Shakespeare Festival,0,tell me the driving directions from my house to the utah shakespeare festival
Is there flooding on the motorway right now?,5,is there flooding on the freeway right now ?
"if I leave at 9 o'clock, I will make it to Solon by 10 o'clock",2,if i leave at 9 am will i make it to solon by 10 am from lakeview
What time should I take to make it to the game in Leverpool today?,3,what time should i leave to make it to the liverpool game today ?
When should we leave la to get six flags if we want to be there by 10am?,3,when should we leave la to get six flags if we want to be therer by 10 am ?
"We got a lot of rain, some local roads are closed.",5,we have got a lot of rain are there any local roads closed because of it .
Are there floods in the belt?,5,are there any flooding in the belt parkway ?
"how far from my house to seguin, tx",1,"how far from my house to seguin , tx"
What is the distance between Baltimore and Washington DC?,1,what is the distance between baltimore and washington dc
How long will it take to get to Cindy's house?,4,how long will it take me to get to cindy 's house ?
How long will it take to get to edison if I leave now?,4,how much time will it take to get to edison if i leave now ?
Did the rain affect the trip to my uncle Safwat?,5,did the rain affect driving to my uncle safwat ?
how is the traffic on the i-91 towards Springfield,6,how is the traffic on i - 91 towards springfield
When should I leave Chris's house to get to work at 9am on Friday morning?,3,what time should i depart from chris ' house to get to work by 9 am on friday morning ?
Can I have directions to New York?,0,can i have directions to new york
When should I leave my house to go to work by 9pm?,3,when should i leave home to get to work by 9 pm ?
When should I leave the office if I want to be at the National Museum at 5 p.m.?,3,what time should i leave the office if i want to be in the national museum at 5 pm ?
How far is my house from Tina's house?,1,what is the distance from my house to tina 's house
How far is my house from Tina's house?,1,what is the distance from my house to tina 's house
What is a scenic route to see the ocean in California?,0,what is a scenic route to view ocean in california
"if I leave lift in 5 minutes, how much time would I get home?",2,if i leave heb in 5 minutes what time would i get home ?
What time should I go on Sunday mornings if I have to be in Colombia by 10 a.m.?,3,what time should i leave on sunday morning if i need to be in columbia by 10 am
Are there delays on the 495?,6,are there any delays on 495
When should I go to get into town by noon?,3,when should i leave to get to town by noon
What is my new estimated arrival time if I take to the road instead of on the motorway?,2,what is my new estimated arrival time if i take the street roads instead of the freeway
Directions to the nearest hospital,0,driving directions to the closest hospital
What route should I take to avoid traffic?,0,what route should i take to avoid traffic
Is there snow or ice on the roads to Grandma's house?,5,is there any snow or ice on the roads to grandma 's house ?
"The party starts at 8am on Saturday at the White House, which is the time I need to leave Carthage on time.",3,"the party starts at 8 on saturday in white house , what time to i need to leave carthage to make it on time ."
Is there a way to get to the hospital without construction?,0,is there a way to get to the hospital without construction ?
How long will it take me to get from here to omar's house if I leave in 15 minutes?,4,how long will it take me to get to omar 's house from here if i leave in 15 minutes ?
How long is my journey to the sea?,4,how long is my drive to oceanside
How bad is the traffic today?,6,how bad is the traffic today
Time to cross the Golden Gate Bridge from Oakland to San Francisco,4,time it would take to get from oakland to san francisco via the golden gate bridge
Have they already solved the accident on 528?,6,have they cleared up the accident on 528 yet
What is the distance between Salem and Neuberg?,1,what 's the distance between salem and newberg
"If I want to make it to the city by 12 o'clock, how much time do I need to leave my house in the morning?",3,"if i want to make it to ny city by 12 pm , what time i need to leave my house in the morning"
"When I leave the house now, tell me how to get to the savannah quickest.",0,"if i leave home now , tell me the fastest way to drive to savannah ."
"how many miles is it between tulsa, ok and oklahoma city, ok",1,"how many miles is it between tulsa , ok and oklahoma city , ok"
When can I expect to arrive in St Louis when I leave at 8am tomorrow?,2,when can i expect to arrive in st . louis if i leave tomorrow at 8 am ?
how many miles is it from atlanta to savannah,1,how many miles is it from atlanta to savannah
How long should I stay here to arrive at the cruise ship pier tomorrow morning at 6 a.m.?,3,what time should i leave here to get to the cruise ship dock by 6am tomorrow morning ?
How long does it take to drive from Dallas to Houston when I leave at 10 a.m.,4,how long does it take to drive from dallas to houston if i leave at 10 am
How far is the stadium from my current location?,1,how far is the stadium from my current location ?
is built to 35w in Minneapolis,6,is there construction on 35w in minneapolis
Is it a clear shot at the trump card?,6,is it a clear shot to the trump rally
how far away is Hawaii from the continental USA,1,how far is hawaii from the continental u.s
How long will it take to get to work this morning?,4,how long will it take me to get to work this morning
Directions to nebraska tomorrow,0,directions to nebraska tomorrow
Is there snow on my way to the flagpole?,5,is there snow on my route to flagstaff ?
I will be in the centre of Barclay until 7pm due to the current traffic conditions,2,will i be at the barclay 's center by 7 pm under current traffic conditions
"If I leave here at 5 in the morning, when will I get to Santa Cruz?",2,"if i leave here at 5 am , when will i get to santa cruz ?"
What is my eta to home,2,what is my eta until home
Will I make it to the concert in time if I stop to get Monica?,2,leaving in 5 min will i make it to the concert ontime if i stop to pick up monica ?
Are the roads to Main Street in Portland polluted this morning?,5,are the road to main st in portland fuggy this morning ?
How long before we get to the haunted house on the h street,4,how long before we get to the haunted house on h street
How far is my house from Tina's house?,1,what is the distance from my house to tina 's house
How many hours will it take to get there?,4,how many hours will take to go to seattle
"How many miles from here to Iselin, new jersey?",1,"how many miles from here to iselin , new jersey ?"
Does rain affect my route to the motorcycle race in Hilwan?,5,do rain affect my route to motorbike race in hilwan ?
Distance from home to the cinema,1,distance from home to movie theatre
How long does the journey from Philadelphia to Boston take?,4,what 's the drive time from philly to boston
Are the roads to Main Street in Portland polluted this morning?,5,are the road to main st in portland fuggy this morning ?
"If I leave in 5 minutes, how long will it take to get to work?",4,if i leave in 5 minutes how long will it take me to get to work ?
Are there any traffic accidents in my area?,6,are there any traffic accidents in my area
how far away am I from the nearest rest area,1,how far am i from the nearest rest stop
can I reach Cairo by bus today until 19: 00?,2,can i get cairo by 7 pm by bus today ?
Is there flooding on the motorway right now?,5,is there flooding on the freeway right now ?
how much traffic there is on the 290,6,how much traffic is on the 290
When do I have to leave my house to be at the Town Hall by public transport at 10 am?,3,what time must i leave my house to arrive at the nyc city hall by 10 a.m using public transportation
Can I get to London at 5am?,2,can i get to london by 5
Roads are slippery,5,are the roads slick
new york to new jersey how many miles,1,new york to new jersey how many miles
can I get to Wall Street by taxi until 23: 00?,2,can i get to wall street by 11 : 00 pm with taxi ?
"If I'm here in 5 minutes, can I make it to the vet by 3 o'clock?",2,"if i leave here in 5 minutes , can i make it to the vet appointment by 3 ?"
Are there delays on the 495?,6,are there any delays on 495
Fastest route to the airport,0,fastest route to airport
Does rain affect my route to the motorcycle race in Hilwan?,5,do rain affect my route to motorbike race in hilwan ?
Can I get to my girlfriend by 5pm?,2,will i make it to my girlfriend 's by 5 pm ?
Will I get home on time when I leave work now?,2,will i get home on time if i leave work right now
when should i go if i have to be in carolina ave. tooth until 3 p.m.,3,what time should i leave if i need to be at carolina ave . dental by 3 pm
What time should I go to make it to my 9: 00 a.m. meeting?,3,what time should i leave to make it to my 9 : 00 a.m . meeting
Are the roads slick this morning?,5,are the roads slick this morning ?
When should I leave my house to get downtown by 5 p.m.?,3,what time should i leave my house to get downtown by 5 pm
How long will it take to get to Guarulhos Airport from here if I leave now?,4,how long will it take me to get to guarulhos airport from here if i leave right now ?
How much time should I take from work if I want to get home at 4pm?,3,what time should i leave work if i want to get home at 4 pm
"Up-to-date traffic reports, please",6,latest traffic news please
Show me the quickest way home,0,show me the fastest route home
"Which Route to Raleigh, NC Has No Toll Roads",0,"what route to raleigh , nc has no toll roads"
How long is it to walk around this structure?,4,how long is it to go around this construction
"if I leave lift in 5 minutes, how much time would I get home?",2,if i leave heb in 5 minutes what time would i get home ?
"what is the distance between key west, florida and huntington, new york",1,"what is the distance between key west , florida and huntington , new york"
"can I get from here to naperville, illinois till 10 am?",2,"can i get from here to naperville , illinois by 10 am ?"
traffic is free on the i-275 northbound today at 5 p.m.,6,is the traffic clear going north on i - 275 at 5 pm today
Are the paths between here and the devil's play plowed?,5,have the roads between here and the devil 's game been plowed ?
"what is the traffic driving from cranford to new hope, pa",6,"what is the traffic driving from cranford to new hope , pa"
"If I leave Texas Stadium at 10: 30 p.m., when will I get home?",2,"if i leave texas stadium at 10 : 30 pm , what time will i get home"
What's the traffic like in downtown Atlanta?,6,what is the traffic like in downtown atlanta
Will I make it to the concert in time if I stop to get Monica?,2,leaving in 5 min will i make it to the concert ontime if i stop to pick up monica ?
What is the traffic from home to work like?,6,what is the traffic from home to work
How long is my way home tonight,4,how long is my commute home tonight
Distance to Salt Lake City,1,distance to salt lake city
Is there a faster route?,0,is there a faster route available
When will I get home?,2,when will i get home
Will the streets be cleared as I drive to 5th Ave now?,5,will the roads be cleared if i leave now to get to 5th ave ?
What time should I go on Sunday mornings if I have to be in Colombia by 10 a.m.?,3,what time should i leave on sunday morning if i need to be in columbia by 10 am
